Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
EYA4	6	0.52984	0.68362	0.60981	0.99078	0.49422	0.84383
TDRD6	6	0.38959	0.74798	0.79163	0.99682	0.45447	0.84383
SLC35G5	6	-0.45387	-1.0088	0.25907	0.94696	0.31309	0.84383
DOK6	6	-0.80877	-0.98574	0.090704	0.89048	0.32426	0.84383
EN2	6	0.76024	1.0839	0.37438	0.9684	0.27839	0.84383
SEZ6L	6	0.8355	1.0311	0.31313	0.95153	0.30249	0.84383
PEX13	6	0.53296	0.51871	0.60626	0.99078	0.60397	0.8605
FANCM	6	0.86069	1.1742	0.29364	0.94879	0.2403	0.84383
PGAP1	6	1.1112	1.1749	0.15509	0.92898	0.24004	0.84383
hsa-mir-6796	4	0.85756	0.7337	0.40817	0.97651	0.46313	0.84383
ZFAND5	6	-0.34733	-0.8648	0.33917	0.95588	0.38715	0.84383
KCNC3	6	1.7213	0.8096	0.024612	0.75211	0.41817	0.84383
DYNC1LI2	6	-1.3026	-2.0916	0.016085	0.68208	0.036473	0.84383
DYRK1B	6	1.4111	1.026	0.063926	0.83605	0.30487	0.84383
MTMR2	6	0.075523	0.15561	0.77522	0.99682	0.87634	0.9529
PDE9A	6	0.30985	1.1176	0.89708	0.99682	0.26375	0.84383
SPACA3	6	-1.3373	-2.2319	0.014196	0.68094	0.025625	0.84383
MGAT2	6	-0.48222	-1.1048	0.24059	0.9415	0.26925	0.84383
TMEM54	6	1.1342	1.0371	0.14564	0.92689	0.2997	0.84383
ZNF699	6	0.21772	0.39611	0.9706	0.99944	0.69203	0.88851
